,corr_5,p_5,corr_10,p_10,corr_30,p_30
2021-01-27,0.07230244141741679,0.08513768741105446,-0.036666775425754736,0.3830783555447187,-0.059891297767398856,0.15400989230047307
2021-01-28,-0.039597079029554595,0.34790513925302435,-0.0994967967792246,0.018101121956387373,-0.06805406379715567,0.10642314867290356
2021-01-29,-0.01869239582077079,0.6577848019081742,-0.06179696443617177,0.14271865436075015,-0.008425368645002347,0.8417535034180363
2021-02-01,0.04478360526573303,0.28495181204992515,-0.05929927225964703,0.15666529656284245,0.029362232232151845,0.48339200501607293
2021-02-02,-0.03521418779905729,0.398911832106698,-0.09727472595878892,0.019540187417671603,0.01512991674296677,0.7170905444876177
2021-02-03,-0.06965205986015988,0.0934816742064648,-0.0919372575613118,0.02669337283382618,0.03666887518907794,0.3776374817275594
2021-02-04,-0.10847396273036371,0.009055529655761839,-0.09257312304830272,0.02604288413075778,-0.008386285552995908,0.8405523146697124
2021-02-05,-0.08762586645331122,0.03503186410040304,-0.04571043893690332,0.272160464706491,0.018232870990565305,0.6615202036286623
2021-02-08,-0.1198737242043785,0.0038691063869773657,-0.049593347560597495,0.2334611621492386,0.02871225257115842,0.4904864171032072
2021-02-18,0.07548840236159213,0.07664864491657052,0.11957779102198371,0.004944729487617324,0.10184483863738962,0.016782633982482784
2021-02-19,0.030809947616188837,0.46405019444016093,0.10491325578393582,0.012434845108069645,0.08597168499742823,0.04071608109345739
2021-02-22,0.04496504273303856,0.28173855572940765,0.10938348153312176,0.008662431001871213,0.09175962623599117,0.027794565022547384
2021-02-23,0.02676015665659977,0.5211836106625984,0.08700817857108872,0.03666815795807091,0.05593109191333322,0.179710203539206
2021-02-24,0.049354714197046276,0.23450606763750087,0.08930054154967373,0.03123860050263583,0.06327728227506686,0.1273113937576027
2021-02-25,0.11442770003988413,0.005715370678954525,0.12581324991713505,0.0023597449647302852,0.09168560762217048,0.026981136076441634
2021-02-26,0.06778939923745234,0.10350096174700843,0.09788160248810057,0.018582928866982693,0.056870807692246575,0.17212348539571232
2021-03-01,-0.0306813251433452,0.4631665570706591,-0.05149780363187028,0.21797610631367897,-0.02215222176975835,0.5963632365009356
